지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
충북 괴산군,교외대기,633361,청천면,2019011610,0.001,0.4,0.015,0.0067,55,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010314,0.0011,0.3,0.042,0.0065,19,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010607,0.0011,0.5,0.012,0.0112,33,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010410,0.0011,0.6,0.016,0.0109,39,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010507,0.0011,0.7,0.007,0.0192,65,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010508,0.0011,0.7,0.007,0.0182,65,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010601,0.0011,0.5,0.012,0.0141,60,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010608,0.0011,0.5,0.011,0.0114,31,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010610,0.0011,0.5,0.016,0.0092,39,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012920,0.0011,0.6,0.02,0.0233,83,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011802,0.0011,0.6,0.015,0.0072,62,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011609,0.0011,0.5,0.011,0.0128,59,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011801,0.0011,0.7,0.017,0.0084,58,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010701,0.0011,0.7,0.014,0.0132,64,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011803,0.0011,0.6,0.015,0.0066,42,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011807,0.0011,0.6,0.011,0.0066,32,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012402,0.0011,0.4,0.023,0.005,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012403,0.0011,0.4,0.02,0.005,32,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012404,0.0011,0.5,0.019,0.0057,25,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012406,0.0011,0.5,0.016,0.0064,30,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012409,0.0011,0.5,0.016,0.0073,33,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011411,0.0011,0.8,0.029,0.011,98,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012410,0.0011,0.5,0.02,0.0059,29,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012602,0.0011,0.6,0.025,0.0082,63,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013109,0.0011,0.7,0.01,0.0173,69,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013107,0.0011,0.6,0.011,0.0174,68,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013106,0.0011,0.6,0.012,0.0175,75,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013104,0.0011,0.6,0.013,0.0184,70,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012720,0.0011,0.6,0.028,0.0136,51,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012821,0.0011,0.5,0.043,0.0072,107,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012912,0.0011,0.4,0.037,0.0057,72,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012913,0.0011,0.4,0.042,0.0053,87,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012914,0.0011,0.4,0.046,0.0048,78,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013124,0.0011,0.6,0.027,0.0102,75,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011409,0.0011,0.8,0.021,0.0111,147,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011604,0.0011,0.4,0.018,0.0107,49,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011407,0.0011,0.8,0.013,0.0109,107,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010904,0.0011,0.4,0.022,0.007,44,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010807,0.0011,0.7,0.013,0.0102,62,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010805,0.0011,0.7,0.017,0.0076,60,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010804,0.0011,0.7,0.017,0.008,63,,충북 괴산군 청천면 송문로 덕평길
